CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 1.687500 1745538167.7785
MEM 20.121094 1745538167.8795
MEM 24.222656 1745538167.9801
MEM 24.234375 1745538168.0810
MEM 24.246094 1745538168.1818
MEM 24.250000 1745538168.2822
MEM 24.250000 1745538168.3828
MEM 24.250000 1745538168.4831
MEM 24.250000 1745538168.5833
MEM 26.957031 1745538168.6843
MEM 34.566406 1745538168.7853
MEM 42.148438 1745538168.8862
MEM 42.152344 1745538168.9869
MEM 42.152344 1745538169.0874
MEM 42.152344 1745538169.1880
MEM 42.152344 1745538169.2890
MEM 42.152344 1745538169.3893
MEM 42.160156 1745538169.4903
MEM 42.160156 1745538169.5905
MEM 42.160156 1745538169.6915
MEM 42.160156 1745538169.7924
MEM 42.160156 1745538169.8932
MEM 42.160156 1745538169.9941
MEM 42.160156 1745538170.0943
MEM 42.160156 1745538170.1952
MEM 42.160156 1745538170.2954
MEM 42.164062 1745538170.3956
MEM 36.648438 1745538170.4963
